Company Name,Sector,Market Price,52 Weeks High - Low,EPS,P/E Ratio,Book Value,PBV,% Dividend,% Bonus,Right Share,G.N,price above GN
Aarambha Chautari Laghubitta Bittiya Sanstha Limited (ACLBSL),Microfinance,"1,420.00","1,870.00-1,077.00",28.3,50.05,162.25,8.75,,"21.00
                                
                                    (FY:077-078)",,321.4229106644391,341.7855581808416
Agriculture Development Bank Limited (ADBL),Commercial Banks,405.00,620.00-398.00,16.0,25.17,171.36,2.36,,,,248.3739116735089,63.06060377725111
Arun Valley Hydropower Development Co. Ltd. (AHPC),Hydro Power,552.00,785.00-237.00,8.66,63.74,107.82,5.12,"0.53
                                
                                    (FY:077-078)","10.00
                                
                                    (FY:077-078)",,144.9438753449072,280.83706447510497
AJOD Insurance Limited (AIL),Non-Life Insurance,706.00,"1,125.00-588.80",9.27,76.16,111.80,6.31,,,,152.70456771164376,362.3306365878716
Ankhu Khola Jalvidhyut Company Ltd (AKJCL),Hydro Power,307.00,502.00-134.00,9.44,32.52,71.80,4.28,,,,123.49218598761622,148.59872512969034
Arun Kabeli Power Ltd. (AKPL),Hydro Power,544.00,882.40-300.00,21.6,25.19,111.12,4.90,"0.89
                                
                                    (FY:077-078)","17.00
                                
                                    (FY:077-078)",,232.38829574658016,134.0909632528279
Asha Laghubitta Bittiya Sanstha Limited (ALBSL),Microfinance,"1,540.00","2,101.20-1,176.00",52.3,29.42,154.52,9.97,"1.32
                                
                                    (FY:077-078)","25.00
                                
                                    (FY:077-078)",,426.41694384721626,261.148876052115
Asian Life Insurance Co. Limited (ALICL),Life Insurance,913.00,"1,565.00-884.00",0.00,0.00,138.32,6.60,"2.00
                                
                                    (FY:076-077)","25.00
                                
                                    (FY:076-077)","1:0.6
                                
                                    (FY:074-075)",0.0,0
Api Power Company Ltd. (API),Hydro Power,520.10,670.00-276.00,10.3,50.15,108.42,4.80,"0.55
                                
                                    (FY:077-078)","10.50
                                
                                    (FY:077-078)",,158.51288591152456,228.11212603264232
Barun Hydropower Co. Ltd. (BARUN),Hydro Power,516.00,763.40-215.00,15.2,33.81,109.50,4.71,"0.26
                                
                                    (FY:076-077)","5.00
                                
                                    (FY:076-077)","1:1
                                
                                    (FY:076-077)",193.51744107444165,166.64263289917463
Bishal Bazar Company Limited (BBC),Tradings,"4,735.00","8,208.00-3,024.00",250.,18.92,"1,685.32",2.81,,,,3078.948684210245,53.7862590657153
Best Finance Company Ltd. (BFC),Finance,475.00,630.00-151.00,33.8,14.04,138.06,3.44,,"20.00
                                
                                    (FY:067-068)",,324.02874872455374,46.59193107701132
